,price,production
0,72.83333333333333,304000.0
1,78.75,418000.0
2,107.91666666666667,271000.0
3,152.04166666666666,410000.0
4,170.25,503000.0
5,100.25,476000.0
6,119.08333333333333,371000.0
7,162.22222222222223,663609.0
8,181.02386904761906,669709.0
9,122.20234375,557000.0
10,138.46277777777777,559000.0
11,208.4641666666667,944000.0
12,151.15677083333333,929000.0
13,138.43677083333333,975000.0
14,185.97886666666668,1311144.0
15,189.91693611111108,738661.0
16,190.4822765765766,1301840.0
17,175.4268301801802,770322.0
18,230.8182140625,1375697.0
19,241.75935975177302,1320250.0
20,189.44457883333334,1918330.0
