,predicted_price,production_data
0,1642103.8145066416,34.45151515151515
1,1447911.5370977693,24.305390625
2,1852817.231719202,45.46083333333333
3,1314206.3155658394,17.319583333333334
4,1377336.9314322139,20.618020833333333
5,1564453.7822888629,30.39446969696969
6,1754128.192023225,40.304545454545455
7,1387399.5951714634,21.14377314814815
8,1286341.1786011755,15.863690476190474
9,1669201.5051514602,35.86731060606061
10,1531766.399998364,28.686625
11,1870856.2594267325,46.40333333333333
12,1656592.1653352878,35.208499999999994
13,1490259.0916817612,26.51795833333333
