,predicted_price,production_data
0,1419759.8311273837,2.1238703703703705
1,1628932.8735453303,2.9081111111111118
2,1666471.3070945614,3.048851851851852
3,1669612.6812705232,3.0606296296296294
4,1325197.553456327,1.7693333333333336
5,1738184.5329763098,3.3177222222222222
6,1370599.3009806075,1.9395555555555557
7,1392490.134860896,2.0216296296296297
8,1310937.8879751915,1.7158703703703706
9,1925822.3687791713,4.021222222222224
10,1726858.7924331008,3.2752592592592586
11,1710954.3508504003,3.2156296296296296
12,1611324.3846501973,2.8420925925925924
