,predicted_price,production_data
0,685367.8182794561,121.89258101851853
1,854485.0201758153,131.13020833333334
2,1422897.7800182563,162.17841145833333
3,1373514.8351308003,159.48098484848484
4,1482853.1782016146,165.45333333333338
5,1421929.488680912,162.12552083333333
6,1750326.7894834948,180.06344696969697
7,1239883.7248395758,152.18170138888888
8,942797.3855939817,135.9540625
9,204959.79518563533,95.65142857142857
10,1573556.1662270317,170.40776960784314
11,1789214.0098889286,182.18756944444442
12,1496908.0082944988,166.22104519774012
