,value_change,price_change
0,-0.04704084582662206,0.0
1,0.012481581000260034,0.1559969853194437
2,-0.38759524013355023,0.38748091754018
3,-0.15374292304466344,0.12409187323621675
4,0.17448832945140988,-0.04376820120468833
5,0.13139240506329114,-0.10835271112809816
6,-0.003940727480669303,0.0599068693443171
7,0.1606864274570983,0.032699907341048925
8,0.6881720430107527,-0.01841731755706898
9,0.06535668789808917,0.17719405517167675
10,-0.05400541668410448,0.08601278961265044
11,0.07112496457920091,0.0
12,-0.10052910052910052,0.1619182239171124
13,0.014705882352941175,0.2291326645111852
14,0.0198415458937198,-0.0021898861987903573
15,0.10882829037479766,0.0
16,-0.03312745648512072,0.024794154105600732
