,price,production
0,0.16334459281167849,-0.13149232498169594
1,0.07644947154369687,-0.018569535081566745
2,0.4798984655695181,-0.03592060999005451
3,0.1646240848457776,-0.05640849298311381
4,0.11141874382026118,-0.1470155985829246
5,-0.42448660714285713,-0.02198685376299653
6,-0.003231379289174306,0.006317997881410493
7,-0.24059440988576328,0.0209266339442764
8,0.29164165629503574,-0.14984734521038287
9,0.05759233643905976,1.4464548619233044
10,-0.21508090712451558,0.003832947591313418
11,-0.3538998182331436,0.2297725780787316
