,price,production
0,5.915625000000001,59840000.0
1,5.926388888888889,65767400.0
2,7.430902777777778,62097400.0
3,8.430208333333333,69350200.0
4,8.057083333333333,66345000.0
5,8.561458333333333,71287504.0
6,8.686458333333333,76368896.0
7,8.926136363636363,72766304.0
8,9.0625,65760800.0
9,9.73301282051282,72156200.0
10,9.878472222222221,68636896.0
11,12.27951388888889,69354496.0
12,13.243749999999999,75806704.0
13,13.745069444444445,78570200.0
14,15.050694444444446,80679400.0
15,16.993787878787877,80803600.0
16,16.63496323529412,86874000.0
17,17.568844086021503,94880000.0
18,20.405021367521368,93510000.0
19,21.431706349206348,95850000.0
20,21.88659722222222,86530000.0
21,23.155391156462585,93500000.0
