,0,1,2,3
0,23603,0.2161830279471571,2876,0.0
1,23604,0.30176275706053124,4190,0.04074525041193967
2,23605,0.05512692508256659,2877,0.18361649584860928
3,23606,0.0380473123158972,1119,-0.14429525129282525
4,23607,0.41808093559826903,1113,0.22919825650671327
5,23608,0.4214661766327216,1114,0.5457298820642452
6,23609,0.029364191601821955,1115,-0.18296920182069523
7,23610,0.10914103933217559,1116,0.008747141530291208
8,23611,0.24073050900589754,2504,0.10291207587536126
9,23612,0.3372019947601832,1111,0.07775793863453619
10,23613,-0.03578568432770795,1112,0.011330355110924418
11,23614,0.1203774655280483,1117,0.1888107217055564
12,23615,0.13083448525261232,1118,0.09122222162152148
13,23616,-0.06347257113937617,1120,-0.12202112974350975
