,predicted_price,production_data
0,15.728147799381553,[14.0]
1,20.638459444061738,[20.0]
2,19.00168889583501,[18.0]
3,10.817836154701371,[8.0]
4,5.089139235907826,[1.0]
5,6.7259097841345525,[3.0]
6,12.4546067029281,[10.0]
7,16.546533073494917,[15.0]
8,5.907524510021189,[2.0]
9,19.82007416994837,[19.0]
10,13.272991977041462,[11.0]
11,9.999450880588007,[7.0]
12,7.544295058247917,[4.0]
13,14.091377251154826,[12.0]
14,21.4568447181751,[21.0]
15,14.90976252526819,[13.0]
16,4.270753961794462,[0.0]
17,8.36268033236128,[5.0]
18,18.183303621721645,[17.0]
19,9.181065606474643,[6.0]
20,17.36491834760828,[16.0]
21,11.636221428814736,[9.0]
