,predicted_price,production_data
0,1625452.197668553,2.7203703703703703
1,1422092.1595759531,1.9978333333333331
2,1646196.3079694102,2.7940740740740737
3,1690551.1769795348,2.9516666666666667
4,1408441.7010639068,1.9493333333333331
5,1731909.095380867,3.0986111111111114
6,1680387.6053497177,2.9155555555555552
7,1292566.5603079624,1.53762962962963
8,1357212.0879616137,1.7673148148148148
9,1597494.5575545335,2.6210370370370373
10,1683681.6449753814,2.9272592592592592
11,1942925.690767929,3.848351851851852
12,1418235.2144446382,1.9841296296296296
