,predicted_price,production_data
0,22342.27652020202,[1.0]
1,30224.757954141416,[7.0]
2,26283.51723717172,[4.0]
3,21028.529614545456,[0.0]
4,24969.770331515152,[3.0]
5,31538.504859797984,[8.0]
6,23656.023425858588,[2.0]
7,28911.01104848485,[6.0]
8,27597.264142828284,[5.0]
9,32852.25176545455,[9.0]
