,predicted_price,production_data
0,0.07081868712738731,[128.0]
1,0.07080885862447517,[136.0]
2,0.06738853961104878,[2920.0]
3,0.066725115664479,[3460.0]
4,0.07081500143879527,[131.0]
5,0.07080640149874713,[138.0]
6,0.06672142997588694,[3463.0]
7,0.06671528716156686,[3468.0]
8,0.07081254431306723,[133.0]
9,0.06671774428729489,[3466.0]
10,0.030133599322563827,[33244.0]
11,0.06671651572443087,[3467.0]
12,0.0667189728501589,[3465.0]
13,0.06895495726267185,[1645.0]
14,0.0708174585645233,[129.0]
15,0.06895372869980784,[1646.0]
16,0.06672265853875096,[3462.0]
17,0.0708113157502032,[134.0]
18,0.06738731104818475,[2921.0]
19,0.06895250013694382,[1647.0]
20,0.06672020141302293,[3464.0]
21,0.03013114219683579,[33246.0]
22,0.06671405859870283,[3469.0]
23,0.07081377287593124,[132.0]
24,0.0708100871873392,[135.0]
25,0.0016911404576807343,[56395.0]
26,0.03013237075969981,[33245.0]
27,0.07081623000165928,[130.0]
28,0.06672388710161498,[3461.0]
29,0.07080763006161116,[137.0]
30,0.0689512715740798,[1648.0]
31,0.0016923690205447456,[56394.0]
32,0.030134827885427845,[33243.0]
