,predicted_price,production_data
0,1289681.701163343,163.4902091666667
1,582252.7872534082,98.25976708333334
2,1212546.7060533857,156.37776333333332
3,797999.1363558292,118.15325666666666
4,1254669.8228019301,160.26184196428568
5,1631185.473142305,194.9795101851852
6,1251016.7470700582,159.925
7,1292641.8500767152,163.76315789473685
8,711781.8912186336,110.20335681818182
9,1036411.0963145245,140.13669166666668
10,1121973.0295517603,148.02616666666663
11,1072796.045498418,143.49166666666667
12,1224481.2610148836,157.47822202380954
13,633383.452484804,102.97441166666668
