,predicted_price,production_data
0,7.544295058247917,[4.0]
1,21.4568447181751,[21.0]
2,17.36491834760828,[16.0]
3,19.001688895835006,[18.0]
4,13.272991977041462,[11.0]
5,19.82007416994837,[19.0]
6,18.18330362172164,[17.0]
7,16.546533073494913,[15.0]
8,11.636221428814734,[9.0]
9,9.181065606474643,[6.0]
10,5.907524510021189,[2.0]
11,4.270753961794462,[0.0]
12,12.454606702928098,[10.0]
13,15.728147799381553,[14.0]
14,9.999450880588007,[7.0]
15,20.638459444061734,[20.0]
16,5.089139235907825,[1.0]
17,14.091377251154825,[12.0]
18,8.362680332361279,[5.0]
19,10.817836154701371,[8.0]
20,6.7259097841345525,[3.0]
21,14.909762525268189,[13.0]
