,predicted_price,production_data
0,210.91824941288277,[19.0]
1,121.84188001943481,[4.0]
2,193.10297553419318,[16.0]
3,175.28770165550358,[13.0]
4,151.5340031505841,[9.0]
5,98.08818151451536,[0.0]
6,187.1645509079633,[15.0]
7,216.85667403911265,[20.0]
8,133.71872927189455,[6.0]
9,104.02660614074522,[1.0]
10,145.59557852435427,[8.0]
11,139.65715389812442,[7.0]
12,109.96503076697508,[2.0]
13,157.472427776814,[10.0]
14,204.9798247866529,[18.0]
15,127.78030464566467,[5.0]
16,115.90345539320495,[3.0]
17,181.22612628173346,[14.0]
18,199.04140016042305,[17.0]
19,163.41085240304386,[11.0]
20,169.3492770292737,[12.0]
